mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6431553840637207,0.040640430385916144,0.015749216079711914,0.0011698524826064458,10,sqrt,5,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.7237609329446064,0.7346938775510204,0.7295918367346939,0.6997084548104956,0.7323121808898614,0.7240134565861356,0.012687438052196546,61
1.4147581577301025,0.039806037847844096,0.03374004364013672,0.01113366515504884,10,sqrt,5,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.7266763848396501,0.7383381924198251,0.7274052478134111,0.7026239067055393,0.7403355215171408,0.7270758506591133,0.01342255453878433,53
1.8693089962005616,0.07655061297381476,0.040234041213989255,0.002143909876509868,10,sqrt,5,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.7244897959183674,0.7383381924198251,0.7259475218658892,0.7033527696793003,0.7396061269146609,0.7263468813596086,0.01305324909698601,55
0.5869387626647949,0.03773573468411187,0.0124908447265625,0.0017569643973438453,10,sqrt,5,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.7237609329446064,0.7346938775510204,0.7295918367346939,0.6997084548104956,0.7323121808898614,0.7240134565861356,0.012687438052196546,61
1.26271390914917,0.046231363992413975,0.02283759117126465,0.001775185575315989,10,sqrt,5,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.7266763848396501,0.7383381924198251,0.7274052478134111,0.7026239067055393,0.7403355215171408,0.7270758506591133,0.01342255453878433,53
1.6569047451019288,0.04203557515762311,0.030979251861572264,0.0012626656736849122,10,sqrt,5,10,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.7244897959183674,0.7383381924198251,0.7259475218658892,0.7033527696793003,0.7396061269146609,0.7263468813596086,0.01305324909698601,55
0.5449424266815186,0.012679709471868238,0.011267614364624024,0.0010144360432035404,10,sqrt,5,15,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 100}",0.7223032069970845,0.7274052478134111,0.7325072886297376,0.6946064139941691,0.738147337709701,0.7229938990288206,0.01513880870959542,63
1.0753307342529297,0.05067189807382794,0.022119617462158202,0.00251050885035592,10,sqrt,5,15,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 200}",0.7230320699708455,0.7397959183673469,0.7274052478134111,0.7018950437317785,0.7359591539022611,0.7256174867571287,0.013271117322294223,58
1.6193147659301759,0.06965079831516724,0.030623149871826173,0.0026129750571247602,10,sqrt,5,15,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 300}",0.7259475218658892,0.7383381924198251,0.7259475218658892,0.7026239067055393,0.7366885485047411,0.7259091382723769,0.012750545303472702,57
0.5274084091186524,0.020428964438064565,0.011725091934204101,0.0013915380105373745,10,sqrt,10,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.7135568513119533,0.728134110787172,0.728134110787172,0.6975218658892128,0.7308533916849015,0.7196400660920823,0.012619481318107594,70
1.055993127822876,0.048937936724143635,0.022705268859863282,0.0010118335445036097,10,sqrt,10,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.717201166180758,0.7346938775510204,0.7303206997084548,0.6989795918367347,0.7301239970824216,0.7222638664718779,0.01303063904777428,64
1.6106021404266357,0.05457845382110701,0.03127684593200684,0.0033270689559699203,10,sqrt,10,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 300}",0.717930029154519,0.7368804664723032,0.7244897959183674,0.6997084548104956,0.7308533916849015,0.7219724276081173,0.01280221667454159,67
0.5061585903167725,0.011320572632299585,0.013372230529785156,0.00211903250268644,10,sqrt,10,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.7135568513119533,0.728134110787172,0.728134110787172,0.6975218658892128,0.7308533916849015,0.7196400660920823,0.012619481318107594,70
1.0468842029571532,0.07117016478384473,0.02135019302368164,0.002405022489969252,10,sqrt,10,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.717201166180758,0.7346938775510204,0.7303206997084548,0.6989795918367347,0.7301239970824216,0.7222638664718779,0.01303063904777428,64
1.5693671703338623,0.051449936863971125,0.032867145538330075,0.0028963637393900617,10,sqrt,10,10,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 300}",0.717930029154519,0.7368804664723032,0.7244897959183674,0.6997084548104956,0.7308533916849015,0.7219724276081173,0.01280221667454159,67
