mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5701505661010742,0.02534334492261487,0.01236739158630371,0.0015677154927930125,10,sqrt,5,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.706997084548105,0.7193877551020408,0.7208454810495627,0.7434402332361516,0.7425237053245806,0.7266388518520881,0.014188414699417505,43
0.8072417736053467,0.04381801721931013,0.01955733299255371,0.003060303229703348,10,sqrt,5,10,150,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 150}",0.7084548104956269,0.7150145772594753,0.7208454810495627,0.7427113702623906,0.7454412837345004,0.7264935045603111,0.014907031419297698,44
0.9818513870239258,0.025034533295621268,0.021560001373291015,0.0020678587045057043,10,sqrt,5,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.7099125364431487,0.7164723032069971,0.7252186588921283,0.7427113702623906,0.7439824945295405,0.727659472666841,0.013704486431026687,38
0.49460129737854003,0.01816027354905299,0.013005399703979492,0.0032699681682750686,10,sqrt,5,20,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100}",0.7011661807580175,0.7055393586005831,0.7099125364431487,0.7368804664723032,0.7396061269146609,0.7186209338377426,0.016281406950567442,79
0.7390951156616211,0.013950208927810036,0.020568180084228515,0.0047272362551452835,10,sqrt,5,20,150,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 150}",0.6982507288629738,0.7113702623906706,0.717201166180758,0.739067055393586,0.7403355215171408,0.7212449468690257,0.016276813018328704,63
0.9873356819152832,0.0271597863794929,0.02182483673095703,0.0037081842347716975,10,sqrt,5,20,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 200}",0.7040816326530612,0.7142857142857143,0.7164723032069971,0.7376093294460642,0.7454412837345004,0.7235780526652673,0.015439088199127421,54
0.4958890438079834,0.042849063874511484,0.013436126708984374,0.005831439132426953,10,sqrt,5,30,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 30, 'n_estimators': 100}",0.7018950437317785,0.7113702623906706,0.7135568513119533,0.7346938775510204,0.7432530999270606,0.7209538269824967,0.015465081582946268,64
0.74510498046875,0.012314296442104232,0.016436958312988283,0.0016086142741911396,10,sqrt,5,30,150,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 30, 'n_estimators': 150}",0.7011661807580175,0.7164723032069971,0.7150145772594753,0.7368804664723032,0.7454412837345004,0.7229949622862587,0.015996073910220097,56
0.9488602638244629,0.023986864744734045,0.021954345703125,0.00284576468509255,10,sqrt,5,30,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 30, 'n_estimators': 200}",0.7026239067055393,0.7113702623906706,0.7113702623906706,0.7427113702623906,0.7447118891320205,0.7225575381762582,0.017576416908136487,57
0.4851935386657715,0.00945423960029761,0.012795639038085938,0.0024543163049826665,10,sqrt,10,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.6938775510204082,0.7128279883381924,0.7084548104956269,0.7405247813411079,0.737417943107221,0.7186206148605112,0.017789038012393114,80
0.7174792289733887,0.029049226605593503,0.01715078353881836,0.0016387954173911709,10,sqrt,10,10,150,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 150}",0.6989795918367347,0.7099125364431487,0.7106413994169096,0.7397959183673469,0.7425237053245806,0.7203706302777441,0.017491179129928265,66
0.9657902240753173,0.012826282575276873,0.022910928726196288,0.0028945973281384076,10,sqrt,10,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.6989795918367347,0.7084548104956269,0.7164723032069971,0.7405247813411079,0.7454412837345004,0.7219745541229934,0.018092124540484523,60
0.4819789886474609,0.004008401146699328,0.011844968795776368,0.0018094162517725847,10,sqrt,10,20,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 100}",0.6938775510204082,0.7128279883381924,0.7084548104956269,0.7405247813411079,0.737417943107221,0.7186206148605112,0.017789038012393114,80
0.714854097366333,0.02193392914471326,0.015906143188476562,0.00276636120984332,10,sqrt,10,20,150,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 150}",0.6989795918367347,0.7099125364431487,0.7106413994169096,0.7397959183673469,0.7425237053245806,0.7203706302777441,0.017491179129928265,66
0.9685709953308106,0.027750772293164576,0.022568559646606444,0.0035488060202876464,10,sqrt,10,20,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 200}",0.6989795918367347,0.7084548104956269,0.7164723032069971,0.7405247813411079,0.7454412837345004,0.7219745541229934,0.018092124540484523,60
