mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.15628833770751954,0.00910424293869669,0.014168357849121094,0.0037998347208641355,0.7,0.0,0.01,3,100,0.0,1.0,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.7}",0.7135568513119533,0.7244897959183674,0.7142857142857143,0.706997084548105,0.7133479212253829,0.7145354734579046,0.005627543056358976,256
0.15590758323669435,0.020332590712031636,0.014629793167114259,0.005262156285723082,0.7,0.0,0.01,3,100,0.0,1.0,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.7128279883381924,0.7317784256559767,0.7150145772594753,0.7091836734693877,0.7133479212253829,0.716430517189683,0.007906459841003584,245
0.13815684318542482,0.009831335358664357,0.009673261642456054,0.0018588469772825064,0.7,0.0,0.01,3,100,0.0,0.1,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 0.1, 'subsample': 0.7}",0.7113702623906706,0.7230320699708455,0.717201166180758,0.7084548104956269,0.7148067104303428,0.7149730038936487,0.005008143333443135,251
0.14052219390869142,0.005050575652360998,0.013863801956176758,0.005097670446993761,0.7,0.0,0.01,3,100,0.0,0.1,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7128279883381924,0.7274052478134111,0.7215743440233237,0.7099125364431487,0.7133479212253829,0.7170136075686917,0.0064833383349096885,241
0.13403449058532715,0.010780143356029637,0.014426183700561524,0.003062716661044087,0.7,0.0,0.01,3,100,0.01,1.0,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.01, 'reg_lambda': 1, 'subsample': 0.7}",0.7135568513119533,0.7252186588921283,0.7142857142857143,0.706997084548105,0.7133479212253829,0.7146812460526568,0.005886966474919034,253
0.14699935913085938,0.00912170029451194,0.010181140899658204,0.00341038698684789,0.7,0.0,0.01,3,100,0.01,1.0,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.01, 'reg_lambda': 1, 'subsample': 0.8}",0.7128279883381924,0.7317784256559767,0.7150145772594753,0.7091836734693877,0.7133479212253829,0.716430517189683,0.007906459841003584,245
0.1318418025970459,0.015915320020348445,0.011992311477661133,0.003146899354659609,0.7,0.0,0.01,3,100,0.01,0.1,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.01, 'reg_lambda': 0.1, 'subsample': 0.7}",0.7113702623906706,0.7230320699708455,0.717930029154519,0.7091836734693877,0.7148067104303428,0.7152645490831532,0.004894717521102232,249
0.13672981262207032,0.009311970978979942,0.013644838333129882,0.004318836875785525,0.7,0.0,0.01,3,100,0.01,0.1,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.01, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7113702623906706,0.7274052478134111,0.7215743440233237,0.7099125364431487,0.7140773158278628,0.7168679412996835,0.006626835983940173,243
0.23425745964050293,0.012188332958408758,0.012952613830566406,0.0037117399982263444,0.7,0.0,0.01,3,200,0.0,1.0,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.7}",0.7237609329446064,0.7339650145772595,0.7303206997084548,0.7419825072886297,0.7286652078774617,0.7317388724792825,0.00608266241146105,194
0.221769380569458,0.012752645531032546,0.010945415496826172,0.001482215924405528,0.7,0.0,0.01,3,200,0.0,1.0,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.7208454810495627,0.7339650145772595,0.7274052478134111,0.7376093294460642,0.725018234865062,0.7289686615502718,0.00606070755292794,221
0.23539299964904786,0.01603816905749537,0.013794469833374023,0.0027910428917198625,0.7,0.0,0.01,3,200,0.0,0.1,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 0.1, 'subsample': 0.7}",0.7230320699708455,0.7339650145772595,0.7303206997084548,0.7397959183673469,0.7286652078774617,0.7311557821002737,0.005575639212603824,197
