mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.12785139083862304,0.005264806901831721,0.004832839965820313,0.0014742270598946852,balanced,3,sqrt,5,5,50,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.6639941690962099,0.6749271137026239,0.6618075801749271,0.7018950437317785,0.687819110138585,0.6780886033688249,0.015067509252467767,122
0.26176066398620607,0.01894076530889926,0.006830263137817383,0.0012755679849291214,balanced,3,sqrt,5,5,100,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.6610787172011662,0.6756559766763849,0.6632653061224489,0.7048104956268222,0.6885485047410649,0.6786718000735774,0.01635085631946369,112
0.3400702953338623,0.015503704805261656,0.008256483078002929,0.002067313046845352,balanced,3,sqrt,5,5,150,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 150}",0.6618075801749271,0.6749271137026239,0.6661807580174927,0.7004373177842566,0.687089715536105,0.678088497043081,0.014123374740301496,124
0.10879364013671874,0.007808216382670575,0.004684543609619141,0.00142594868316495,balanced,3,sqrt,5,10,50,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.6639941690962099,0.6749271137026239,0.6618075801749271,0.7018950437317785,0.687819110138585,0.6780886033688249,0.015067509252467767,122
0.20800995826721191,0.013073112069326593,0.007225227355957031,0.0019473026534225903,balanced,3,sqrt,5,10,100,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.6610787172011662,0.6756559766763849,0.6632653061224489,0.7048104956268222,0.6885485047410649,0.6786718000735774,0.01635085631946369,112
0.321046781539917,0.0042717967368595,0.006852865219116211,0.000687847889405096,balanced,3,sqrt,5,10,150,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 150}",0.6618075801749271,0.6749271137026239,0.6661807580174927,0.7004373177842566,0.687089715536105,0.678088497043081,0.014123374740301496,124
0.11656856536865234,0.009295277475267521,0.004553937911987304,0.0013852637358420044,balanced,3,sqrt,5,15,50,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 50}",0.6639941690962099,0.672740524781341,0.6618075801749271,0.7026239067055393,0.687819110138585,0.6777970581793205,0.015417948093806292,133
0.21470932960510253,0.009533298750658607,0.005704069137573242,0.0009984749046473072,balanced,3,sqrt,5,15,100,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 100}",0.6588921282798834,0.6778425655976676,0.6639941690962099,0.7026239067055393,0.6885485047410649,0.678380254884073,0.015988643540964294,118
0.3230428695678711,0.02450450728804541,0.012131929397583008,0.005259537538992159,balanced,3,sqrt,5,15,150,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 150}",0.6610787172011662,0.6749271137026239,0.6661807580174927,0.7018950437317785,0.6856309263311452,0.6779425117968414,0.014592152342565737,129
0.10941977500915527,0.011688677661841994,0.005434179306030273,0.0016342458268179076,balanced,3,sqrt,10,5,50,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.6654518950437318,0.674198250728863,0.6683673469387755,0.7091836734693877,0.6812545587162655,0.6796911449794047,0.015706113633157097,98
0.2599177360534668,0.0056714243756971075,0.008095550537109374,0.003110272832054694,balanced,3,sqrt,10,5,100,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.6639941690962099,0.674198250728863,0.6647230320699709,0.7026239067055393,0.687089715536105,0.6785258148273375,0.014659275412163775,115
0.4044013977050781,0.030142861027950923,0.010954856872558594,0.0013787721486788885,balanced,3,sqrt,10,5,150,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 150}",0.6625364431486881,0.674198250728863,0.6676384839650146,0.7004373177842566,0.6849015317286652,0.6779424054710975,0.013505433621045247,130
0.13744111061096193,0.004640746954882492,0.006330060958862305,0.0022990927135872435,balanced,3,sqrt,10,10,50,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.6654518950437318,0.674198250728863,0.6683673469387755,0.7091836734693877,0.6812545587162655,0.6796911449794047,0.015706113633157097,98
