mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.37251691818237304,0.009183540683701584,0.018837547302246092,0.00538393712205742,0.7,0.5,0.01,3,5,300,1,10,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300, 'reg_alpha': 1, 'reg_lambda': 10, 'subsample': 0.8}",0.7266763848396501,0.7368804664723032,0.7310495626822158,0.7463556851311953,0.7286652078774617,0.7339254614005652,0.007095529416739142,118
0.37023606300354006,0.013338162893187098,0.016136598587036134,0.0030018739871121415,0.7,0.5,0.01,3,5,300,10,5,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300, 'reg_alpha': 10, 'reg_lambda': 5, 'subsample': 0.7}",0.728134110787172,0.7354227405247813,0.728134110787172,0.7470845481049563,0.7257476294675419,0.7329046279343248,0.007799350252678573,129
0.3546867370605469,0.014168835408895982,0.01359858512878418,0.004278227304257954,0.7,0.5,0.01,3,5,300,10,5,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300, 'reg_alpha': 10, 'reg_lambda': 5, 'subsample': 0.8}",0.7259475218658892,0.7368804664723032,0.7274052478134111,0.7485422740524781,0.7279358132749818,0.7333422646958127,0.008517267921138882,123
0.33452601432800294,0.01459353076473452,0.01354665756225586,0.0010228489979302608,0.7,0.5,0.01,3,5,300,10,10,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300, 'reg_alpha': 10, 'reg_lambda': 10, 'subsample': 0.7}",0.7244897959183674,0.7354227405247813,0.7266763848396501,0.7470845481049563,0.7235594456601021,0.7314465830095714,0.008873718427945442,163
0.3285515785217285,0.027712993624494305,0.018021011352539064,0.005226558459333639,0.7,0.5,0.01,3,5,300,10,10,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300, 'reg_alpha': 10, 'reg_lambda': 10, 'subsample': 0.8}",0.7244897959183674,0.7361516034985423,0.728134110787172,0.7463556851311953,0.7272064186725018,0.7324675228015558,0.007956824819514732,139
0.24933161735534667,0.006360223069048491,0.0127197265625,0.0031439197377320038,0.7,0.5,0.01,3,10,200,1,5,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 200, 'reg_alpha': 1, 'reg_lambda': 5, 'subsample': 0.7}",0.7237609329446064,0.7317784256559767,0.7259475218658892,0.7405247813411079,0.7272064186725018,0.7298436160960164,0.0059491877403110025,206
0.25869336128234866,0.03086659534879536,0.013972234725952149,0.002420197804776062,0.7,0.5,0.01,3,10,200,1,5,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 200, 'reg_alpha': 1, 'reg_lambda': 5, 'subsample': 0.8}",0.7259475218658892,0.7317784256559767,0.7274052478134111,0.7383381924198251,0.7272064186725018,0.7301351612855208,0.004550963026633992,197
0.2933647632598877,0.012324353999715333,0.018247222900390624,0.007064078156749003,0.7,0.5,0.01,3,10,200,1,10,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 200, 'reg_alpha': 1, 'reg_lambda': 10, 'subsample': 0.7}",0.7215743440233237,0.7310495626822158,0.7244897959183674,0.7434402332361516,0.7279358132749818,0.7296979498270082,0.007574961045778597,210
0.23789820671081544,0.03254778707048106,0.012048673629760743,0.0018906598999099554,0.7,0.5,0.01,3,10,200,1,10,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 200, 'reg_alpha': 1, 'reg_lambda': 10, 'subsample': 0.8}",0.7244897959183674,0.7310495626822158,0.7274052478134111,0.739067055393586,0.7272064186725018,0.7298436160960164,0.005061422335105538,206
0.24100785255432128,0.0181258593540562,0.013033437728881835,0.007693489993526441,0.7,0.5,0.01,3,10,200,10,5,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 200, 'reg_alpha': 10, 'reg_lambda': 5, 'subsample': 0.7}",0.7201166180758017,0.7325072886297376,0.7244897959183674,0.7383381924198251,0.7235594456601021,0.7278022681407668,0.006651107426036425,229
0.2531723499298096,0.06065348447448887,0.021465635299682616,0.013385770556830753,0.7,0.5,0.01,3,10,200,10,5,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 200, 'reg_alpha': 10, 'reg_lambda': 5, 'subsample': 0.8}",0.7215743440233237,0.7317784256559767,0.7223032069970845,0.7383381924198251,0.7228300510576222,0.7273648440307665,0.006627344637730323,236
0.21495137214660645,0.013067906111322759,0.023021936416625977,0.017404904579570484,0.7,0.5,0.01,3,10,200,10,10,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 200, 'reg_alpha': 10, 'reg_lambda': 10, 'subsample': 0.7}",0.7193877551020408,0.7317784256559767,0.7252186588921283,0.7354227405247813,0.7213712618526623,0.7266357684055179,0.006097782024405084,245
0.2667299747467041,0.004236227380210624,0.012922334671020507,0.005747696487770035,0.7,0.5,0.01,3,10,200,10,10,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 200, 'reg_alpha': 10, 'reg_lambda': 10, 'subsample': 0.8}",0.7186588921282799,0.7325072886297376,0.7201166180758017,0.7376093294460642,0.7221006564551422,0.7261985569470051,0.007491797366760284,253
0.31661105155944824,0.015231878982066635,0.011952733993530274,0.0035526287667055245,0.7,0.5,0.01,3,10,300,1,5,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 300, 'reg_alpha': 1, 'reg_lambda': 5, 'subsample': 0.7}",0.7346938775510204,0.7383381924198251,0.7339650145772595,0.750728862973761,0.7301239970824216,0.7375699889208575,0.007077524341798648,33
